Serial PID,Process Name,Process ID 1,Process ID 2,Process ID 3
1,C:\Program Files (x86)\FormatFactory\luminati\brightdata.exe,11252
2,C:\Program Files (x86)\Seagate\Seagate Dashboard 2.0\Seagate.Dashboard.Uploader.exe,13188
3,C:\Users\User\AppData\Roaming\ACEStream\engine\ace_engine.exe,16140
4,C:\Users\User\AppData\Local\FigmaAgent\figma_agent.exe,16396
5,C:\Program Files (x86)\Intel\Intel(R) Security Assist\isa.exe,17356
6,C:\Program Files (x86)\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe,16368
7,C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\IPC\AdobeIPCBroker.exe,16888
8,C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe,16336
9,C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe,16808,12520
10,C:\Program Files (x86)\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe,16940
11,C:\Program Files (x86)\Adobe\Adobe Creative Cloud Experience\libs\node.exe,17168
12,C:\Users\User\AppData\Roaming\ACEStream\updater\ace_update.exe,16256
13,C:\Windows\Lenovo\ImController\PluginHost86\Lenovo.Modern.ImController.PluginHost.Device.exe,12800
14,C:\Users\User\AppData\Roaming\UI.Vision\XModules\nmhost.exe,6340
15,C:\Users\User\AppData\Roaming\UI.Vision\XModules\kantu-file-access-host.exe,8852
16,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe,7392
17,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\PerfWatson2.exe,4176
18,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe,15712
19,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe,12240
20,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe,18032
21,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\VC\vcpackages\vcpkgsrv.exe,7440,668,10076,3848,3820
22,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe,11492
23,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Extensions\Microsoft\LiveShare\Agent\vsls-agent.exe,4936
24,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe,12676,11272
25,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\MSBuild.exe,15992
26,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Tools\MSVC\14.29.30133\bin\Hostx86\x86\mspdbsrv.exe,1924
27,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\CommonExtensions\Platform\Debugger\VsDebugConsole.exe,11592
28,C:\Users\User\source\repos\SemisterA-FinalProject\Debug\SemisterA-FinalProject.exe,2908
29,C:\Program Files (x86)\Microsoft Office\Office16\WINWORD.EXE,10460
30,C:\Program Files (x86)\Microsoft Office\Office16\EXCEL.EXE,16588
